Video ID,Tiêu đề Video,Nội dung chính toàn video,Các điểm nhấn/Tranh cãi (Key Highlights),Sắc thái chủ đạo (Target Sentiment)
7619505128890010901,Hai người mẫu quay quảng cáo trong show thực tế,"Video là một đoạn cắt từ chương trình thực tế, ghi lại cảnh hai người mẫu Hương Ly và Cao Ngân thực hiện phần quay quảng cáo trong bối cảnh studio phông trắng. Hai nhân vật đứng cạnh nhau, cố gắng đọc lời giới thiệu cho thương hiệu thời trang nhưng nhiều lần nói vấp, dùng sai ý và có cử chỉ khá gượng gạo. Máy quay thường zoom cận vào khuôn mặt lúng túng của hai người mẫu và phản ứng quan sát của giám khảo. Trên màn hình có dòng chữ “Khi tôi và con bạn thân đi đóng quảng cáo”, khiến tình huống được đặt trong bối cảnh đời thường, gần với trải nghiệm của người xem. Âm thanh chủ yếu là lời thoại trực tiếp, với giọng nói ngập ngừng và các khoảng lặng làm nổi bật sự khó xử của cảnh quay.",Bối cảnh studio tối giản; hai người mẫu đọc lời quảng cáo không trôi chảy; giám khảo có phản ứng ngơ ngác; text overlay liên hệ tình huống với trải nghiệm đi quay quảng cáo cùng bạn thân.,Giải trí / tình huống vụng về
7622268970770500885,Tổng hợp drama mạng xã hội về TikToker Lê Xuân Lộc/San,"Video thuộc dạng talking head kết hợp reaction, trong đó người dẫn tóm tắt một drama mạng xã hội liên quan đến TikToker Lê Xuân Lộc, còn được gọi là San hoặc Thục San, thuộc nhóm Gia đình Nala. Nội dung video trình bày các mốc sự kiện, phát ngôn và hình ảnh tư liệu liên quan đến nhân vật chính, đồng thời sử dụng nhiều ảnh chụp màn hình bình luận, chứng chỉ, ảnh chế và hiệu ứng chia đôi màn hình. Người dẫn xuất hiện trong phòng làm việc, liên tục thay đổi biểu cảm, chỉ tay vào các tư liệu và phản ứng theo từng tình tiết. Text overlay dùng chữ in hoa, màu đỏ hoặc vàng để nhấn mạnh các cụm từ như “HÓNG DRAMA LÀ PHỤ, XEM BIỂU CẢM YOBAE LÀ CHÍNH”, “UÁ OÀ”, “BỤM” và “Hãy là chính mình hơn”. Âm thanh gồm lời dẫn tiếng Việt, nhạc nền nhanh và nhiều hiệu ứng meme nhằm tạo cảm giác như một bản tin giải trí trên mạng xã hội.","Dạng talking head kết hợp reaction; sử dụng split-screen, ảnh chụp bình luận, chứng chỉ và ảnh chế; người dẫn phản ứng liên tục theo diễn biến drama; text overlay in hoa và hiệu ứng meme xuất hiện dày đặc.",Phê phán / tranh cãi mạng xã hội
7625986583996402965,Màn hình tin nhắn cũ gợi lại ký ức tình yêu,"Video ghi lại màn hình cuộc trò chuyện Messenger đã được làm mờ và cuộn chậm từ dưới lên, tạo cảm giác người xem đang nhìn lại những đoạn tin nhắn cũ. Không có nhân vật xuất hiện trực tiếp trong video; phần hình ảnh chỉ gồm các bong bóng chat xanh trắng bị làm mờ và chuyển động nhẹ theo thao tác cuộn. Text overlay ở phía trên ghi “Pov : bạn quay lại thời gian anh ấy yêu bạn nhất”, còn giữa màn hình có dòng “iloveusomuch.”. Âm thanh là một ca khúc ballad Trung Quốc có giai điệu chậm, tạo không khí hoài niệm và tiếc nuối. Tổng thể video tập trung vào cảm giác nhớ lại một giai đoạn tình cảm đã qua.",Giao diện Messenger bị làm mờ; thao tác cuộn tin nhắn cũ; text POV về việc quay lại thời điểm được yêu thương; nhạc nền ballad chậm và buồn.,Trầm buồn / hoài niệm
7627477139138301202,Slideshow tin nhắn cặp đôi với cách trả lời ngắn gọn,"Video là một slideshow gồm các ảnh chụp màn hình tin nhắn giữa các cặp đôi, xen kẽ với hình ảnh meme chim cánh cụt. Nội dung chính xoay quanh các đoạn chat tình cảm, dỗi hờn hoặc đùa giỡn, trong đó một bên thường đưa ra câu hỏi hoặc lời nhắn mang sắc thái mong được dỗ dành, còn bên còn lại trả lời rất ngắn, thẳng và có phần cụt lủn. Text trên màn hình dùng nhiều slang và viết tắt tiếng Việt như “iu”, “kh”, “bth”, “thui”, “ng”. Video không có người xuất hiện trực tiếp, toàn bộ diễn biến được thể hiện qua tin nhắn và hình meme. Âm thanh sử dụng giọng đọc nhân tạo nam và nữ đọc lại nội dung chat, kèm hiệu ứng chuyển cảnh ngắn sau mỗi đoạn.",Slideshow ảnh chụp tin nhắn; meme chim cánh cụt biểu thị cách trả lời cụt lủn; nhiều slang và viết tắt tiếng Việt; giọng đọc nhân tạo đọc lại toàn bộ đoạn chat.,Giải trí / tình cảm đời sống
7628064166992973077,Cắt ghép phóng sự lớp học về bé Phương Anh và món thịt gà,"Video là bản cắt ghép từ một phóng sự lớp học tiểu học trong giờ ăn bán trú. Trong đoạn đầu, cô giáo nói rằng bé Phương Anh không ăn được thịt gà nên gọi bé lên chia canh cho các bạn. Sau đó, ở phần phỏng vấn, phóng viên hỏi bé có ăn được thịt gà không và bé trả lời là có. Video dùng các đoạn zoom cận cảnh vào biểu cảm của bé, chuyển sang tông đen trắng ở cuối và thêm nhạc nền kiểu điều tra để tăng cảm giác kịch tính. Text overlay gồm các câu như “Mong VTV theo dõi năm nay bạn Phương Anh có được lên lớp không?”, “Ủa?” và “Có ạ”. Nội dung tập trung vào sự khác biệt giữa lời cô giáo nói và câu trả lời trực tiếp của học sinh trong phóng sự.",Bối cảnh lớp học giờ ăn bán trú; cô giáo gọi bé Phương Anh đi chia canh; phóng viên phỏng vấn bé về việc ăn thịt gà; text overlay nhấn mạnh câu “Ủa?” và “Có ạ”; cuối video có nhạc nền kịch tính.,Giải trí / tình huống học đường
7628089059503590677,Màn trình diễn Stay của Justin Bieber và The Kid LAROI tại Coachella,"Video tổng hợp các phân cảnh biểu diễn ca khúc “Stay” của Justin Bieber và The Kid LAROI tại lễ hội âm nhạc Coachella. Hình ảnh chủ yếu là sân khấu lớn, ánh sáng mạnh, đám đông khán giả và hai nghệ sĩ di chuyển, hát, nhảy, tương tác với khán giả. Video sử dụng định dạng chia đôi màn hình để hiển thị nhiều góc quay của buổi diễn. Text overlay viết hoa toàn bộ, nhấn mạnh việc cộng đồng mạng dành sự yêu thích đặc biệt cho hai nghệ sĩ và ca khúc này. Voiceover tiếng Việt có giọng đọc hào hứng, lặp lại nội dung chính của text overlay; âm thanh nền là phần trình diễn live của bài hát “Stay”.",Sân khấu Coachella đông khán giả; hai nghệ sĩ biểu diễn ca khúc “Stay”; split-screen nhiều góc quay; voiceover tiếng Việt khen màn trình diễn; nhạc nền là âm thanh live tiếng Anh.,Tích cực / hào hứng
7628192889352293653,Quán lẩu gà Quảng Đông nổi tiếng ngoài ý muốn,"Video kể lại câu chuyện về quán lẩu gà Mạc Thị ở Phật Sơn, Quảng Đông, Trung Quốc bỗng trở nên nổi tiếng và thu hút rất đông khách. Ông chủ quán nhiều lần khuyên khách đừng đến vì quán quá đông, nhưng lượng khách vẫn tăng khiến cả gia đình phải tham gia hỗ trợ phục vụ. Video cho thấy cảnh khách xếp hàng, bãi xe đông, con cái của chủ quán chặt gà, ghi đơn và chính quyền địa phương hỗ trợ cải thiện đường sá để đón khách du lịch. Giọng đọc tiếng Việt kể lại câu chuyện với nhịp nhanh, nhấn mạnh việc một quán ăn bình dân bỗng trở thành điểm đến nổi bật. Text overlay dùng chữ in hoa để nêu các chi tiết như “không ngon đâu đừng đến” và “con trai lái Land Rover vẫn phải về chặt gà”.",Quán ăn bình dân ở Quảng Đông đông khách bất ngờ; ông chủ khuyên khách không đến nhưng quán vẫn quá tải; gia đình chủ quán tham gia phục vụ; chính quyền hỗ trợ làm đường và điều phối du lịch địa phương.,Giải trí / đời sống ẩm thực
7628428855467871508,Hai bạn nhỏ lip-sync đoạn hội thoại meme Cris Gamer,"Video là một skit ngắn trong phòng, trong đó hai bạn nhỏ lip-sync theo một đoạn audio meme nổi tiếng của streamer Cris Devil Gamer. Một bạn đứng bên trái giả vờ giới thiệu bản thân trước máy quay, sau đó quay sang phản ứng mạnh khi bạn bên phải chen ngang và nói hộ vì đã thuộc lời. Góc máy cố định chính diện, phía sau có cửa và kệ trưng bày đồ chơi hoặc mô hình. Video không có text overlay ngoài watermark TikTok. Âm thanh chính là đoạn thoại meme tiếng Việt, có nhịp nhanh và kết thúc bằng một câu tiếng Anh trong bối cảnh tấu hài. Diễn xuất của hai bạn nhỏ dựa nhiều vào biểu cảm khuôn mặt, động tác chỉ tay và phản ứng đối đáp theo audio gốc.",Lip-sync audio meme Cris Gamer; hai bạn nhỏ diễn lại cảnh giới thiệu bị chen ngang; góc quay cố định trong phòng; biểu cảm và động tác được làm nổi bật theo lời thoại gốc.,Giải trí / tái hiện meme
7628678480326135060,Creator trả lời bình luận của fan trong video Q&A,"Video thuộc dạng Q&A/talking head, trong đó một nam creator trẻ trả lời các bình luận trêu đùa của fan bằng các câu phản hồi ngắn, thẳng và mang tính bông đùa. Nhân vật quay cận mặt trong phòng riêng, phía sau có thú bông và sử dụng hiệu ứng nhiễu TV để chuyển giữa các câu hỏi. Trên màn hình hiển thị các câu hỏi hoặc nhận xét của fan, kèm câu trả lời của creator, trong đó có nhiều teencode tiếng Việt như “a”, “v”, “e”, “dc”. Creator thường cười, nháy mắt, vuốt tóc hoặc tạo dáng theo trend trong khi trả lời. Âm thanh gồm lời nói trực tiếp bằng tiếng Việt và nhạc nền lofi nhẹ, tạo không khí tương tác thân mật giữa creator và người xem.",Dạng Q&A phản hồi bình luận fan; quay cận mặt trong phòng riêng; hiệu ứng nhiễu TV khi chuyển câu hỏi; nhiều teencode tiếng Việt; nhạc nền lofi nhẹ.,Giải trí / tương tác fan
7628876598191623432,Meme mèo mô tả các trạng thái trong một mối quan hệ lâu dài,"Video sử dụng các meme mèo được cắt ghép trên nền bối cảnh ban công để mô tả những trạng thái cảm xúc thay đổi của một cô gái trong mối quan hệ lâu dài. Một nhân vật mèo đại diện cho “tôi” đứng khá tĩnh, trong khi nhân vật mèo còn lại đại diện cho “ẻm” thay đổi liên tục qua nhiều biểu cảm và hành động. Text overlay mở đầu bằng câu “Pov: Quen nhau đủ lâu để thấy đủ nhân cách của em”, sau đó là các câu thoại như “A có iu pe hăm?”, “Đêm nay anh là của tôiiii”, “Hình như anh hết thương em rùi!” và “Biến đi thằng choá”. Video không có người thật xuất hiện, toàn bộ diễn biến dựa trên hình mèo, text và hiệu ứng âm thanh. Âm thanh thay đổi theo từng phân cảnh, gồm tiếng cười, tiếng khóc, âm thanh trẻ con và các hiệu ứng hành động ở đoạn cuối.",Meme mèo trên nền ban công; nhân vật “tôi” đứng yên còn nhân vật “ẻm” thay đổi liên tục; text overlay dùng teencode và câu thoại tình cảm; hiệu ứng âm thanh chuyển nhanh theo từng trạng thái.,Giải trí / tình cảm đời sống
